sample_index,reconstruction_error,error_above_threshold,severity_score,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
727,0.18422992530085786,0.054217009639562386,0.41701248959608295,2024-10-30 13:15:47.720,0.04,0.14,0.2,0,7903512,10089532,10281520,591829757,17016614,1613639,2024-10-30 13:06:46.900
745,0.1842258798842976,0.05421296422300212,0.4169813740985211,2024-10-30 13:33:47.700,0.14,0.14,0.19,0,7902664,10089532,10286724,591941378,17029584,1615834,2024-10-30 13:24:48.470
746,0.18421013931135896,0.05419722365006349,0.41686030479660935,2024-10-30 13:34:47.737,0.35,0.18,0.2,0,7901932,10089532,10286728,591947582,17030283,1615954,2024-10-30 13:25:48.120
1601,0.1840962723071167,0.05408335664582123,0.4159844917770867,2024-11-04 15:17:13.890,0.36,0.21,0.22,0,7912432,10092348,10308772,632816162,18473918,1742964,2024-11-04 15:08:13.997
1074,0.18409578419417147,0.054082868532876,0.41598073743512193,2024-10-31 13:27:04.587,0.24,0.3,0.4,0,7910808,10090424,10285740,600689607,17553856,1677521,2024-10-31 13:18:04.650
1091,0.1840946118811291,0.054081696219833636,0.4159717205383282,2024-10-31 13:46:36.480,0.31,0.31,0.32,0,7899200,10090580,10285436,600804748,17567008,1679585,2024-10-31 13:35:04.597
730,0.18397496853360265,0.05396205287230718,0.41505147852300306,2024-10-30 13:18:47.720,0.14,0.17,0.21,0,7902500,10089532,10286808,591848235,17018927,1614007,2024-10-30 13:09:47.673
728,0.18360607097396137,0.0535931553126659,0.41221408688568045,2024-10-30 13:16:47.740,0.12,0.14,0.2,0,7904020,10089532,10286112,591835941,17017372,1613761,2024-10-30 13:07:47.660
1075,0.18314999033641238,0.05313707467511691,0.40870612280973323,2024-10-31 13:28:04.590,0.1,0.25,0.37,0,7900220,10090424,10285744,600695551,17554604,1677637,2024-10-31 13:19:04.610
1092,0.1830860821775424,0.05307316651624694,0.4082145704239959,2024-10-31 13:47:36.497,0.32,0.31,0.32,0,7897512,10090580,10285160,600811007,17567832,1679711,2024-10-31 13:36:04.573
729,0.1829841761044772,0.052971260443181734,0.407430755427256,2024-10-30 13:17:47.700,0.27,0.19,0.22,0,7904316,10089532,10286112,591842062,17018044,1613884,2024-10-30 13:08:47.670
1014,0.18229397510475515,0.052281059443459676,0.4021220443948833,2024-10-31 12:29:04.590,0.39,0.28,0.24,0,7899956,10090360,10283368,600325382,17515847,1664662,2024-10-31 12:21:04.607
1013,0.182264978868523,0.05225206320722753,0.401899018581758,2024-10-31 12:28:04.657,0.22,0.25,0.23,0,7898768,10090360,10285316,600319188,17515357,1664538,2024-10-31 12:20:04.650
1012,0.1820413117217637,0.05202839606046822,0.40017867298669424,2024-10-31 12:27:04.710,0.13,0.23,0.23,0,7898872,10090356,10285312,600313018,17514835,1664419,2024-10-31 12:19:04.890
970,0.18201899942309774,0.05200608376180227,0.40000705697029726,2024-10-31 11:48:04.577,0.32,0.18,0.15,0,7898992,10089956,10283112,599467352,17427946,1644138,2024-10-31 11:36:59.943
1093,0.18200289187504837,0.0519899762137529,0.39988316506334753,2024-10-31 13:48:36.503,0.22,0.28,0.31,0,7897712,10090580,10285200,600817246,17568585,1679836,2024-10-31 13:37:04.590
1009,0.18175498427750023,0.051742068616204756,0.39797637298590516,2024-10-31 12:24:26.833,0.35,0.29,0.25,0,7896872,10090356,10282592,600294506,17513057,1664062,2024-10-31 12:16:04.573
1019,0.18158218728954623,0.05156927162825076,0.39664729743156435,2024-10-31 12:33:04.580,0.29,0.28,0.24,0,7899500,10090380,10285488,600350670,17518090,1665276,2024-10-31 12:25:03.750
1011,0.18128677918460107,0.051273863523305596,0.3943751531338798,2024-10-31 12:26:04.860,0.21,0.26,0.24,0,7899200,10090356,10285340,600306827,17514333,1664297,2024-10-31 12:18:04.663
1094,0.18112573849497096,0.05111282283367549,0.3931365016598244,2024-10-31 13:49:36.490,0.21,0.28,0.31,0,7898832,10090580,10285488,600823480,17569265,1679946,2024-10-31 13:38:04.603
1010,0.1811148859543593,0.05110197029306382,0.3930530288713212,2024-10-31 12:25:03.750,0.26,0.27,0.24,0,7898528,10090376,10283316,600301868,17513624,1664180,2024-10-31 12:17:14.360
1095,0.17971403480724799,0.049701119145952516,0.3822783212971849,2024-10-31 13:50:36.500,0.2,0.27,0.31,0,7899068,10090580,10285468,600829788,17569979,1680064,2024-10-31 13:39:04.600
